seccion,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Total de Votos
"Capital, Cordoba",614786,204639,819425
"La Matanza, Buenos Aires",303672,478833,782505
"Rosario, Santa Fe",434442,317557,751999
"La Plata, Buenos Aires",208515,204713,413228
"General Pueyrredon, Buenos Aires",223162,170260,393422
"Lomas De Zamora, Buenos Aires",160971,227514,388485
"Capital, Tucuman",219842,144549,364391
"Quilmes, Buenos Aires",156553,204429,360982
"Capital, Salta",226946,117311,344257
"Almirante Brown, Buenos Aires",140441,201239,341680
"La Capital, Santa Fe",197934,126820,324754
"Merlo, Buenos Aires",122827,183842,306669
"Lanus, Buenos Aires",123042,157320,280362
"Confluencia, Neuquen",171343,108266,279609
"San Fernando, Chaco",155755,116505,272260
"Moreno, Buenos Aires",108116,158839,266955
"General San Martin, Buenos Aires",122681,133850,256531
"Florencio Varela, Buenos Aires",91681,157084,248765
"Tigre, Buenos Aires",128526,118382,246908
"Parana, Entre Rios",148239,88702,236941
"Capital, Corrientes",152108,84746,236854
"General Roca, Rio Negro",127883,94326,222209
"Avellaneda, Buenos Aires",93523,127060,220583
"Capital, Misiones",135897,81009,216906
"Malvinas Argentinas, Buenos Aires",92179,120549,212728
"Berazategui, Buenos Aires",94066,118509,212575
"Tres De Febrero, Buenos Aires",105315,105705,211020
"Moron, Buenos Aires",105225,102965,208190
"Pilar, Buenos Aires",108260,99478,207738
"Capital, Santiago Del Estero",79927,124730,204657
"San Isidro, Buenos Aires",130059,71104,201163
"Colon, Cordoba",142786,42981,185767
"San Miguel, Buenos Aires",92652,89097,181749
"Esteban Echeverria, Buenos Aires",84988,96277,181265
"Bahia Blanca, Buenos Aires",114546,66451,180997
"Guaymallen, Mendoza",128158,45268,173426
"Doctor Manuel Belgrano, Jujuy",108161,61591,169752
"Vicente Lopez, Buenos Aires",106078,63362,169440
"Jose C. Paz, Buenos Aires",67356,100499,167855
"Rio Cuarto, Cordoba",115591,42205,157796
"Formosa, Formosa",83136,73347,156483
"Comuna 13, Ciudad Autonoma De Buenos Aires",102794,50899,153693
"Juan Martin De Pueyrredon, San Luis",101846,45988,147834
"Escobar, Buenos Aires",77235,70177,147412
"Cruz Alta, Tucuman",65480,79034,144514
"Comuna 14, Ciudad Autonoma De Buenos Aires",95260,47636,142896
"Comuna 12, Ciudad Autonoma De Buenos Aires",82141,59627,141768
"San Justo, Cordoba",105046,33681,138727
"Punilla, Cordoba",97023,34828,131851
"Comuna 4, Ciudad Autonoma De Buenos Aires",64516,64341,128857
"Capital, La Rioja",74777,53537,128314
"Comuna 11, Ciudad Autonoma De Buenos Aires",73591,53583,127174
"Comuna 7, Ciudad Autonoma De Buenos Aires",68841,56211,125052
"Las Heras, Mendoza",82988,38995,121983
"General Lopez, Santa Fe",85463,35451,120914
"Escalante, Chubut",71487,48358,119845
"San Lorenzo, Santa Fe",75457,42894,118351
"Comuna 15, Ciudad Autonoma De Buenos Aires",59669,58629,118298
"Hurlingham, Buenos Aires",54429,62875,117304
"Comuna 6, Ciudad Autonoma De Buenos Aires",66137,51035,117172
"Maipu, Mendoza",85617,31008,116625
"Comuna 1, Ciudad Autonoma De Buenos Aires",66712,48894,115606
"Godoy Cruz, Mendoza",83025,32074,115099
"General Obligado, Santa Fe",70208,42864,113072
"Concordia, Entre Rios",63144,49129,112273
"Castellanos, Santa Fe",81645,29457,111102
"Ituzaingo, Buenos Aires",52845,58026,110871
"Ezeiza, Buenos Aires",52981,57175,110156
"Comuna 5, Ciudad Autonoma De Buenos Aires",56460,53690,110150
"San Rafael, Mendoza",75745,34229,109974
"Comuna 9, Ciudad Autonoma De Buenos Aires",59128,50107,109235
"Comuna 10, Ciudad Autonoma De Buenos Aires",60358,48495,108853
"Comuna 3, Ciudad Autonoma De Buenos Aires",57270,49365,106635
"Comuna 8, Ciudad Autonoma De Buenos Aires",52558,53511,106069
"Banda, Santiago Del Estero",35087,68654,103741
"Tafi Viejo, Tucuman",58987,44385,103372
"San Fernando, Buenos Aires",49865,50181,100046
"Capital, Catamarca",56494,41036,97530
"San Nicolas, Buenos Aires",54389,41645,96034
"General Jose De San Martin, Salta",39615,56217,95832
"Comuna 2, Ciudad Autonoma De Buenos Aires",68722,26417,95139
"Bariloche, Rio Negro",44704,44672,89376
"General Pedernera, San Luis",64122,24615,88737
"General San Martin, Cordoba",61945,25525,87470
"Lujan De Cuyo, Mendoza",66872,19960,86832
"Rawson, Chubut",51062,33474,84536
"Oran, Salta",45677,38492,84169
"Santa Maria, Cordoba",63379,19824,83203
"Tandil, Buenos Aires",51223,31644,82867
"Gualeguaychu, Entre Rios",52248,28293,80541
"Zarate, Buenos Aires",38211,37972,76183
"Tercero Arriba, Cordoba",57237,17254,74491
"Rawson, San Juan",45364,28621,73985
"Güer Aike, Santa Cruz",43996,29724,73720
"Rio Segundo, Cordoba",56835,15441,72276
"Capital, Mendoza",52491,19551,72042
"San Martin, Mendoza",49468,22220,71688
"Capital, La Pampa",35800,35271,71071
"Capital, San Juan",49940,21003,70943
"Olavarria, Buenos Aires",41393,29374,70767
"Lujan, Buenos Aires",39877,30431,70308
"Uruguay, Entre Rios",42646,26624,69270
"Obera, Misiones",38783,30418,69201
"Union, Cordoba",50125,18523,68648
"Las Colonias, Santa Fe",52798,15669,68467
"Deseado, Santa Cruz",38398,29078,67476
"Pergamino, Buenos Aires",41846,25051,66897
"General Rodriguez, Buenos Aires",31299,34720,66019
"El Carmen, Jujuy",41559,24192,65751
"Marcos Juarez, Cordoba",49248,16320,65568
"Yerba Buena, Tucuman",42389,22398,64787
"Campana, Buenos Aires",33680,30564,64244
"Comandante Fernandez, Chaco",35521,26857,62378
"Berisso, Buenos Aires",27083,35082,62165
"Junin, Buenos Aires",34593,26116,60709
"Necochea, Buenos Aires",37845,22615,60460
"Goya, Corrientes",24910,34718,59628
"Chicligasta, Tucuman",28880,28530,57410
"Constitucion, Santa Fe",34436,22835,57271
"Rivadavia, San Juan",36812,19920,56732
"Biedma, Chubut",35060,21440,56500
"La Costa, Buenos Aires",31741,23671,55412
"Pilcomayo, Formosa",21447,33846,55293
"Iguazu, Misiones",32454,22077,54531
"Rio Grande, Tierra Del Fuego",26592,27266,53858
"Chimbas, San Juan",30239,23596,53835
"Presidente Peron, Buenos Aires",21223,32025,53248
"Caseros, Santa Fe",37483,15398,52881
"Eldorado, Misiones",28197,23108,51305
"Ledesma, Jujuy",25941,25288,51229
"San Jeronimo, Santa Fe",32776,17852,50628
"San Pedro, Jujuy",23681,26379,50060
"Federacion, Entre Rios",32536,16661,49197
"Monteros, Tucuman",18983,28834,47817
"Lules, Tucuman",26453,21335,47788
"Patiño, Formosa",15885,29515,45400
"Ushuaia, Tierra Del Fuego",25840,19114,44954
"Chivilcoy, Buenos Aires",24086,20820,44906
"San Vicente, Buenos Aires",19967,24880,44847
"Colon, Entre Rios",28198,16358,44556
"Calamuchita, Cordoba",31975,12361,44336
"Mercedes, Buenos Aires",26217,17921,44138
"Ensenada, Buenos Aires",16605,27325,43930
"Iriondo, Santa Fe",29331,14546,43877
"La Paz, Entre Rios",22165,21393,43558
"Rio Chico, Tucuman",15898,26739,42637
"Adolfo Alsina, Rio Negro",22773,19819,42592
"Leales, Tucuman",16159,25638,41797
"Azul, Buenos Aires",24024,17772,41796
"San Cristobal, Santa Fe",27775,13716,41491
"Maraco, La Pampa",25533,15853,41386
"Pirane, Formosa",16177,24824,41001
"San Martin, Santa Fe",30077,10800,40877
"Juarez Celman, Cordoba",31230,9491,40721
"Guarani, Misiones",20427,19817,40244
"Santo Tome, Corrientes",22659,17453,40112
"Libertador General San Martin, Chaco",15995,23968,39963
"General Guemes, Chaco",15228,24697,39925
"San Pedro, Buenos Aires",23413,16391,39804
"Rio Hondo, Santiago Del Estero",10515,28807,39322
"Cañuelas, Buenos Aires",19668,18612,38280
"San Javier, Cordoba",23969,14126,38095
"Palpala, Jujuy",22750,14991,37741
"Tres Arroyos, Buenos Aires",21607,16075,37682
"Mayor Luis J. Fontana, Chaco",18748,18767,37515
"Pocito, San Juan",22649,14662,37311
"Coronel De Marina Leonardo Rosales, Buenos Aires",26898,10013,36911
"San Ignacio, Misiones",19064,17573,36637
"Cruz Del Eje, Cordoba",19310,17174,36484
"Marcos Paz, Buenos Aires",15205,21219,36424
"Gualeguay, Entre Rios",23334,12875,36209
"Anta, Salta",16670,19515,36185
"Rivadavia, Mendoza",24649,10562,35211
"Cainguas, Misiones",18116,15996,34112
"Rio Primero, Cordoba",26075,7547,33622
"Santa Lucia, San Juan",22557,10998,33555
"Chilecito, La Rioja",19481,13991,33472
"Paso De Los Libres, Corrientes",15728,17591,33319
"Cerrillos, Salta",21388,11816,33204
"Tunuyan, Mendoza",24032,9089,33121
"Chacabuco, Buenos Aires",17811,15232,33043
"General Guemes, Salta",17591,14322,31913
"9 De Julio, Buenos Aires",20408,11495,31903
"Leandro N. Alem, Misiones",18365,13429,31794
"Villaguay, Entre Rios",19186,12576,31762
"Robles, Santiago Del Estero",10031,21627,31658
"Vera, Santa Fe",17099,14209,31308
"Diamante, Entre Rios",21578,9333,30911
"Libertador General San Martin, Misiones",17955,12638,30593
"Rosario De Lerma, Salta",19207,10945,30152
"Burruyacu, Tucuman",10358,19772,30130
"Balcarce, Buenos Aires",19561,10375,29936
"Belgrano, Santa Fe",21026,8266,29292
"Trenque Lauquen, Buenos Aires",18447,10521,28968
"Junin, Mendoza",21204,7470,28674
"General Taboada, Santiago Del Estero",8425,20063,28488
"Curuzu Cuatia, Corrientes",13912,14517,28429
"Futaleufu, Chubut",16013,12392,28405
"Apostoles, Misiones",16220,12090,28310
"Mercedes, Corrientes",14855,13428,28283
"Lincoln, Buenos Aires",17782,10367,28149
"General Alvarado, Buenos Aires",15668,12376,28044
"Bragado, Buenos Aires",15942,11803,27745
"San Alberto, Cordoba",17945,9403,27348
"San Justo, Santa Fe",18809,8257,27066
"Pehuajo, Buenos Aires",15759,11183,26942
"Nogoya, Entre Rios",17205,9661,26866
"Zapala, Neuquen",16387,10177,26564
"General Alvear, Mendoza",16854,9709,26563
"Lavalle, Mendoza",15909,10635,26544
"Famailla, Tucuman",12756,13684,26440
"Ituzaingo, Corrientes",15137,10971,26108
"Metan, Salta",14023,11824,25847
"Bella Vista, Corrientes",11941,13729,25670
"Chascomus, Buenos Aires",15019,10582,25601
"Monte Caseros, Corrientes",13886,11314,25200
"General Manuel Belgrano, Misiones",13335,11637,24972
"Coronel Suarez, Buenos Aires",16441,8528,24969
"Lobos, Buenos Aires",15501,9397,24898
"Choya, Santiago Del Estero",6381,18403,24784
"Exaltacion De La Cruz, Buenos Aires",14489,9784,24273
"Victoria, Entre Rios",15413,8709,24122
"Simoca, Tucuman",8150,15723,23873
"Junin, San Luis",15111,8757,23868
"Ramallo, Buenos Aires",12924,10944,23868
"Avellaneda, Rio Negro",12868,10731,23599
"Lacar, Neuquen",15496,8084,23580
"Caucete, San Juan",11865,11396,23261
"Baradero, Buenos Aires",11269,11876,23145
"Bolivar, Buenos Aires",14090,8796,22886
"25 De Mayo, Buenos Aires",14530,8272,22802
"Salto, Buenos Aires",13585,9015,22600
"Presidente Roque Saenz Peña, Cordoba",16469,5952,22421
"Mar Chiquita, Buenos Aires",12055,10309,22364
"Montecarlo, Misiones",12070,10172,22242
"Moreno, Santiago Del Estero",6528,15677,22205
"Esquina, Corrientes",9258,12843,22101
"San Carlos, Mendoza",16289,5756,22045
"Juan Bautista Alberdi, Tucuman",10306,11702,22008
"Lavalle, Corrientes",7530,14461,21991
"Villa Gesell, Buenos Aires",12390,9350,21740
"Ischilin, Cordoba",14320,7222,21542
"Almirante Brown, Chaco",8546,12900,21446
"Saladillo, Buenos Aires",13735,7707,21442
"Candelaria, Misiones",10942,10357,21299
"Pinamar, Buenos Aires",13600,7231,20831
"San Antonio, Rio Negro",10975,9841,20816
"Tupungato, Mendoza",15752,5057,20809
"General Roca, Cordoba",14958,5447,20405
"Patagones, Buenos Aires",11808,8498,20306
"Chacabuco, Chaco",11413,8532,19945
"Valle Viejo, Catamarca",11075,8865,19940
"Brandsen, Buenos Aires",10880,8913,19793
"Quitilipi, Chaco",9564,10210,19774
"Copo, Santiago Del Estero",4706,14877,19583
"Arrecifes, Buenos Aires",11376,8120,19496
"Rosario De La Frontera, Salta",9502,9863,19365
"25 De Mayo, Chaco",7565,11666,19231
"San Javier, Santa Fe",10645,8234,18879
"9 De Julio, Santa Fe",12273,6272,18545
"Dolores, Buenos Aires",11216,7279,18495
"General Villegas, Buenos Aires",12577,5909,18486
"Federal, Entre Rios",9478,8905,18383
"Tala, Entre Rios",11385,6878,18263
"Bermejo, Chaco",6755,11436,18191
"9 De Julio, Chaco",8366,9591,17957
"Villarino, Buenos Aires",12534,5198,17732
"San Cosme, Corrientes",11715,5851,17566
"Malargüe, Mendoza",11239,6079,17318
"Albardon, San Juan",10287,6889,17176
"Cushamen, Chubut",7609,9522,17131
"Rivadavia, Salta",4001,12708,16709
"Colon, Buenos Aires",8789,7916,16705
"Las Flores, Buenos Aires",9639,7000,16639
"San Pedro, Misiones",6939,9546,16485
"Pehuenches, Neuquen",10118,6347,16465
"San Antonio De Areco, Buenos Aires",10286,5863,16149
"Saladas, Corrientes",6569,9318,15887
"La Paz, Catamarca",5960,9794,15754
"Chacabuco, San Luis",9909,5716,15625
"San Andres De Giles, Buenos Aires",9008,6587,15595
"Chicoana, Salta",9953,5520,15473
"Santa Maria, Catamarca",8642,6707,15349
"Belen, Catamarca",8108,7219,15327
"Rojas, Buenos Aires",9475,5836,15311
"Jachal, San Juan",6529,8688,15217
"Carlos Casares, Buenos Aires",9372,5639,15011
"Sarmiento, San Juan",8656,6285,14941
"Maipu, Chaco",6338,8556,14894
"Pellegrini, Santiago Del Estero",3025,11789,14814
"Avellaneda, Santiago Del Estero",3104,11611,14715
"Monte, Buenos Aires",8499,6038,14537
"Concepcion, Corrientes",5707,8758,14465
"San Luis Del Palmar, Corrientes",6923,7402,14325
"Lago Argentino, Santa Cruz",7347,6975,14322
"Coronel Pringles, Buenos Aires",9457,4858,14315
"12 De Octubre, Chaco",6484,7728,14212
"Loreto, Santiago Del Estero",3899,10282,14181
"Totoral, Cordoba",10580,3438,14018
"La Cocha, Tucuman",5727,8275,14002
"Garay, Santa Fe",8566,5291,13857
"Ayacucho, San Luis",7875,5858,13733
"San Roque, Corrientes",4775,8786,13561
"Independencia, Chaco",5295,8253,13548
"General Juan Madariaga, Buenos Aires",8437,5053,13490
"San Javier, Misiones",6630,6834,13464
"Trancas, Tucuman",6381,7080,13461
"O'Higgins, Chaco",5063,8190,13253
"San Salvador, Entre Rios",8634,4534,13168
"Laishi, Formosa",5176,7981,13157
"Tafi Del Valle, Tucuman",5467,7515,12982
"Saavedra, Buenos Aires",8890,4017,12907
"Ayacucho, Buenos Aires",7030,5761,12791
"Tinogasta, Catamarca",6999,5770,12769
"Pilagas, Formosa",3977,8646,12623
"General Belgrano, Buenos Aires",7403,5107,12510
"Yavi, Jujuy",6728,5778,12506
"La Caldera, Salta",8229,4124,12353
"Benito Juarez, Buenos Aires",6385,5958,12343
"General Viamonte, Buenos Aires",6597,5490,12087
"25 De Mayo, Misiones",4905,7158,12063
"Magdalena, Buenos Aires",6670,5159,11829
"Navarro, Buenos Aires",7277,4473,11750
"Sargento Cabral, Chaco",4709,7014,11723
"Santa Barbara, Jujuy",4771,6792,11563
"Huiliches, Neuquen",6181,5330,11511
"Figueroa, Santiago Del Estero",1148,10266,11414
"Empedrado, Corrientes",5753,5645,11398
"Realico, La Pampa",7386,3964,11350
"General Arenales, Buenos Aires",7488,3830,11318
"Santa Rosa, Mendoza",6233,5026,11259
"Juan F. Ibarra, Santiago Del Estero",2663,8571,11234
"Leandro N. Alem, Buenos Aires",6458,4721,11179
"Toay, La Pampa",6076,5093,11169
"Andalgala, Catamarca",5768,5388,11156
"Cafayate, Salta",6200,4901,11101
"Añelo, Neuquen",6738,4321,11059
"General Las Heras, Buenos Aires",5583,5474,11057
"Rivadavia, Buenos Aires",6994,3979,10973
"Alberdi, Santiago Del Estero",2383,8468,10851
"Daireaux, Buenos Aires",6793,4035,10828
"General Paz, Corrientes",4810,5974,10784
"25 De Mayo, San Juan",4977,5566,10543
"Tornquist, Buenos Aires",6811,3715,10526
"Loberia, Buenos Aires",5865,4556,10421
"Utracan, La Pampa",6482,3865,10347
"Humahuaca, Jujuy",5659,4677,10336
"Carmen De Areco, Buenos Aires",5944,4310,10254
"Graneros, Tucuman",2793,7445,10238
"Capitan Sarmiento, Buenos Aires",6584,3636,10220
"Rauch, Buenos Aires",5407,4760,10167
"General Donovan, Chaco",4766,5389,10155
"1° De Mayo, Chaco",5335,4787,10122
"Adolfo Alsina, Buenos Aires",6732,3385,10117
"Coronel Dorrego, Buenos Aires",6420,3693,10113
"Capayan, Catamarca",4375,5687,10062
